model,term,coefficient,std_error,t_value,p_value
M4_winsorized_eps_fe,C(industry)[T.银行],0.6146307732288315,0.1577711341921639,3.89571119188518,9.7911003700053e-05
M4_winsorized_eps_fe,C(industry)[T.非银金融],0.02658034393428653,0.032146117840579316,0.8268601535683139,0.40831633046073734
M4_winsorized_eps_fe,C(industry)[T.食品饮料],0.6070814842824728,0.050573403809404456,12.00396727438745,3.3866491181002686e-33
M4_winsorized_eps_fe,log_market_cap,0.4858961707642414,0.07836782348716312,6.200199892546877,5.639149235426056e-10
M4_winsorized_eps_fe,log_assets,-0.19082678335439374,0.04358014957852877,-4.378754666973676,1.1935940598635372e-05
M4_winsorized_eps_fe,is_csi500,-0.07165562198073203,0.08597074216829972,-0.8334884656509787,0.4045693002959361
M5_efficiency_fe,Intercept,389.2703275431005,78.91046064500688,4.9330636820675045,8.094974797787784e-07
M5_efficiency_fe,C(year)[T.2009],-17.462569820589653,10.20172399115337,-1.7117273350791171,0.08694692866953328
M5_efficiency_fe,C(year)[T.2014],-12.455522218666868,8.209574435226308,-1.5171946264622076,0.12921755261616494
M5_efficiency_fe,C(year)[T.2019],8.162180233061147,9.974225769640247,0.8183271986789549,0.41317037945740975
M5_efficiency_fe,C(year)[T.2023],12.29909278810095,10.577818417253376,1.16272489306869,0.24494113846688081
M5_efficiency_fe,C(industry)[T.传媒],-10.542478618033037,7.4784506480266355,-1.4097142729443455,0.1586240685330652
M5_efficiency_fe,C(industry)[T.公用事业],4.473254111180454,2.5901141482666805,1.7270490237559537,0.08415885947363147
M5_efficiency_fe,C(industry)[T.农林牧渔],-9.782508131496083,5.884510923076953,-1.6624165133473667,0.0964292901460976
M5_efficiency_fe,C(industry)[T.医药生物],38.5445609315443,8.493563797251461,4.53809047081243,5.676590758741914e-06
M5_efficiency_fe,C(industry)[T.商贸零售],19.391933447932974,3.1784125270149652,6.101137999901191,1.053159300296863e-09
M5_efficiency_fe,C(industry)[T.国防军工],-10.584894095032116,6.680723724215656,-1.584393328025973,0.11310423928354442
M5_efficiency_fe,C(industry)[T.基础化工],5.112680169140647,3.676329040244533,1.3907025495194998,0.1643156441938154
M5_efficiency_fe,C(industry)[T.家用电器],51.49527284274694,2.3226131545854938,22.17126547358123,6.505553886341473e-109
M5_efficiency_fe,C(industry)[T.建筑材料],24.981727255066563,1.9113763347651926,13.070020173779906,4.88525701627529e-39
M5_efficiency_fe,C(industry)[T.建筑装饰],65.1964578307512,7.196522786593378,9.059438810116418,1.3112341988156616e-19
M5_efficiency_fe,C(industry)[T.房地产],22.50137098755669,2.5989731922972474,8.657792644512657,4.80987467701465e-18
M5_efficiency_fe,C(industry)[T.有色金属],-7.377844144447098,4.52074746808486,-1.6319965219319363,0.10268021888632466
M5_efficiency_fe,C(industry)[T.机械设备],46.25281606021453,4.642182286849877,9.963593241746883,2.1996572574847705e-23
M5_efficiency_fe,C(industry)[T.汽车],13.298645825859518,1.4616308095483106,9.098498566795547,9.1589171069518e-20
M5_efficiency_fe,C(industry)[T.煤炭],8.542446318930411,0.788673794212607,10.831406319844803,2.4437298677397252e-27
